case_id,answer_model,evaluator_group,evaluator_id,criterion_kind,criterion_id,criterion_instance,criterion_type,weight,score,notes
OF-2025-001,Deepseek,expert,expert_01,graded,E-09,G03:E-09,effectiveness,2,,
OF-2025-001,Deepseek,expert,expert_02,binary,S-01,B01:S-01,safety,5,,
OF-2025-001,Deepseek,expert,expert_02,binary,S-08,B02:S-08,safety,5,,
OF-2025-001,Deepseek,expert,expert_02,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-001,Deepseek,expert,expert_02,graded,E-12,G02:E-12,effectiveness,1,,
OF-2025-001,Deepseek,expert,expert_02,graded,E-09,G03:E-09,effectiveness,2,,
OF-2025-001,Deepseek,expert,expert_03,binary,S-01,B01:S-01,safety,5,,
OF-2025-001,Deepseek,expert,expert_03,binary,S-08,B02:S-08,safety,5,,
OF-2025-001,Deepseek,expert,expert_03,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-001,Deepseek,expert,expert_03,graded,E-12,G02:E-12,effectiveness,1,,
OF-2025-001,Deepseek,expert,expert_03,graded,E-09,G03:E-09,effectiveness,2,,
OF-2025-001,Qwen,automated,auto_01,binary,S-01,B01:S-01,safety,5,,
OF-2025-001,Qwen,automated,auto_01,binary,S-08,B02:S-08,safety,5,,
OF-2025-001,Qwen,automated,auto_01,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-001,Qwen,automated,auto_01,graded,E-12,G02:E-12,effectiveness,1,,
OF-2025-001,Qwen,automated,auto_01,graded,E-09,G03:E-09,effectiveness,2,,
OF-2025-001,Qwen,automated,auto_02,binary,S-01,B01:S-01,safety,5,,
OF-2025-001,Qwen,automated,auto_02,binary,S-08,B02:S-08,safety,5,,
OF-2025-001,Qwen,automated,auto_02,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-001,Qwen,automated,auto_02,graded,E-12,G02:E-12,effectiveness,1,,
OF-2025-001,Qwen,automated,auto_02,graded,E-09,G03:E-09,effectiveness,2,,
OF-2025-001,Qwen,automated,auto_03,binary,S-01,B01:S-01,safety,5,,
OF-2025-001,Qwen,automated,auto_03,binary,S-08,B02:S-08,safety,5,,
OF-2025-001,Qwen,automated,auto_03,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-001,Qwen,automated,auto_03,graded,E-12,G02:E-12,effectiveness,1,,
OF-2025-001,Qwen,automated,auto_03,graded,E-09,G03:E-09,effectiveness,2,,
OF-2025-001,Qwen,expert,expert_01,binary,S-01,B01:S-01,safety,5,,
OF-2025-001,Qwen,expert,expert_01,binary,S-08,B02:S-08,safety,5,,
OF-2025-001,Qwen,expert,expert_01,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-001,Qwen,expert,expert_01,graded,E-12,G02:E-12,effectiveness,1,,
OF-2025-001,Qwen,expert,expert_01,graded,E-09,G03:E-09,effectiveness,2,,
OF-2025-001,Qwen,expert,expert_02,binary,S-01,B01:S-01,safety,5,,
OF-2025-001,Qwen,expert,expert_02,binary,S-08,B02:S-08,safety,5,,
OF-2025-001,Qwen,expert,expert_02,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-001,Qwen,expert,expert_02,graded,E-12,G02:E-12,effectiveness,1,,
OF-2025-001,Qwen,expert,expert_02,graded,E-09,G03:E-09,effectiveness,2,,
OF-2025-001,Qwen,expert,expert_03,binary,S-01,B01:S-01,safety,5,,
OF-2025-001,Qwen,expert,expert_03,binary,S-08,B02:S-08,safety,5,,
OF-2025-001,Qwen,expert,expert_03,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-001,Qwen,expert,expert_03,graded,E-12,G02:E-12,effectiveness,1,,
OF-2025-001,Qwen,expert,expert_03,graded,E-09,G03:E-09,effectiveness,2,,
OF-2025-002,Yuhub,automated,auto_01,binary,S-03,B01:S-03,safety,5,,
OF-2025-002,Yuhub,automated,auto_01,binary,S-01,B02:S-01,safety,5,,
OF-2025-002,Yuhub,automated,auto_01,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-002,Yuhub,automated,auto_01,graded,E-10,G02:E-10,effectiveness,2,,
OF-2025-002,Yuhub,automated,auto_01,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-002,Yuhub,automated,auto_02,binary,S-03,B01:S-03,safety,5,,
OF-2025-002,Yuhub,automated,auto_02,binary,S-01,B02:S-01,safety,5,,
OF-2025-002,Yuhub,automated,auto_02,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-002,Yuhub,automated,auto_02,graded,E-10,G02:E-10,effectiveness,2,,
OF-2025-002,Yuhub,automated,auto_02,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-002,Yuhub,automated,auto_03,binary,S-03,B01:S-03,safety,5,,
OF-2025-002,Yuhub,automated,auto_03,binary,S-01,B02:S-01,safety,5,,
OF-2025-002,Yuhub,automated,auto_03,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-002,Yuhub,automated,auto_03,graded,E-10,G02:E-10,effectiveness,2,,
OF-2025-002,Yuhub,automated,auto_03,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-002,Yuhub,expert,expert_01,binary,S-03,B01:S-03,safety,5,,
OF-2025-002,Yuhub,expert,expert_01,binary,S-01,B02:S-01,safety,5,,
OF-2025-002,Yuhub,expert,expert_01,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-002,Yuhub,expert,expert_01,graded,E-10,G02:E-10,effectiveness,2,,
OF-2025-002,Yuhub,expert,expert_01,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-002,Yuhub,expert,expert_02,binary,S-03,B01:S-03,safety,5,,
OF-2025-002,Yuhub,expert,expert_02,binary,S-01,B02:S-01,safety,5,,
OF-2025-002,Yuhub,expert,expert_02,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-002,Yuhub,expert,expert_02,graded,E-10,G02:E-10,effectiveness,2,,
OF-2025-002,Yuhub,expert,expert_02,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-002,Yuhub,expert,expert_03,binary,S-03,B01:S-03,safety,5,,
OF-2025-002,Yuhub,expert,expert_03,binary,S-01,B02:S-01,safety,5,,
OF-2025-002,Yuhub,expert,expert_03,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-002,Yuhub,expert,expert_03,graded,E-10,G02:E-10,effectiveness,2,,
OF-2025-002,Yuhub,expert,expert_03,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-002,Deepseek,automated,auto_01,binary,S-03,B01:S-03,safety,5,,
OF-2025-002,Deepseek,automated,auto_01,binary,S-01,B02:S-01,safety,5,,
OF-2025-002,Deepseek,automated,auto_01,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-002,Deepseek,automated,auto_01,graded,E-10,G02:E-10,effectiveness,2,,
OF-2025-002,Deepseek,automated,auto_01,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-002,Deepseek,automated,auto_02,binary,S-03,B01:S-03,safety,5,,
OF-2025-002,Deepseek,automated,auto_02,binary,S-01,B02:S-01,safety,5,,
OF-2025-002,Deepseek,automated,auto_02,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-002,Deepseek,automated,auto_02,graded,E-10,G02:E-10,effectiveness,2,,
OF-2025-002,Deepseek,automated,auto_02,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-002,Deepseek,automated,auto_03,binary,S-03,B01:S-03,safety,5,,
OF-2025-002,Deepseek,automated,auto_03,binary,S-01,B02:S-01,safety,5,,
OF-2025-002,Deepseek,automated,auto_03,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-002,Deepseek,automated,auto_03,graded,E-10,G02:E-10,effectiveness,2,,
OF-2025-002,Deepseek,automated,auto_03,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-002,Deepseek,expert,expert_01,binary,S-03,B01:S-03,safety,5,,
OF-2025-002,Deepseek,expert,expert_01,binary,S-01,B02:S-01,safety,5,,
OF-2025-002,Deepseek,expert,expert_01,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-002,Deepseek,expert,expert_01,graded,E-10,G02:E-10,effectiveness,2,,
OF-2025-002,Deepseek,expert,expert_01,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-002,Deepseek,expert,expert_02,binary,S-03,B01:S-03,safety,5,,
OF-2025-002,Deepseek,expert,expert_02,binary,S-01,B02:S-01,safety,5,,
OF-2025-002,Deepseek,expert,expert_02,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-002,Deepseek,expert,expert_02,graded,E-10,G02:E-10,effectiveness,2,,
OF-2025-002,Deepseek,expert,expert_02,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-002,Deepseek,expert,expert_03,binary,S-03,B01:S-03,safety,5,,
OF-2025-002,Deepseek,expert,expert_03,binary,S-01,B02:S-01,safety,5,,
OF-2025-002,Deepseek,expert,expert_03,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-002,Deepseek,expert,expert_03,graded,E-10,G02:E-10,effectiveness,2,,
OF-2025-002,Deepseek,expert,expert_03,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-002,Qwen,automated,auto_01,binary,S-03,B01:S-03,safety,5,,
OF-2025-002,Qwen,automated,auto_01,binary,S-01,B02:S-01,safety,5,,
OF-2025-002,Qwen,automated,auto_01,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-002,Qwen,automated,auto_01,graded,E-10,G02:E-10,effectiveness,2,,
OF-2025-002,Qwen,automated,auto_01,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-002,Qwen,automated,auto_02,binary,S-03,B01:S-03,safety,5,,
OF-2025-002,Qwen,automated,auto_02,binary,S-01,B02:S-01,safety,5,,
OF-2025-002,Qwen,automated,auto_02,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-002,Qwen,automated,auto_02,graded,E-10,G02:E-10,effectiveness,2,,
OF-2025-002,Qwen,automated,auto_02,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-002,Qwen,automated,auto_03,binary,S-03,B01:S-03,safety,5,,
OF-2025-002,Qwen,automated,auto_03,binary,S-01,B02:S-01,safety,5,,
OF-2025-002,Qwen,automated,auto_03,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-002,Qwen,automated,auto_03,graded,E-10,G02:E-10,effectiveness,2,,
OF-2025-002,Qwen,automated,auto_03,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-002,Qwen,expert,expert_01,binary,S-03,B01:S-03,safety,5,,
OF-2025-002,Qwen,expert,expert_01,binary,S-01,B02:S-01,safety,5,,
OF-2025-002,Qwen,expert,expert_01,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-002,Qwen,expert,expert_01,graded,E-10,G02:E-10,effectiveness,2,,
OF-2025-002,Qwen,expert,expert_01,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-002,Qwen,expert,expert_02,binary,S-03,B01:S-03,safety,5,,
OF-2025-002,Qwen,expert,expert_02,binary,S-01,B02:S-01,safety,5,,
OF-2025-002,Qwen,expert,expert_02,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-002,Qwen,expert,expert_02,graded,E-10,G02:E-10,effectiveness,2,,
OF-2025-002,Qwen,expert,expert_02,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-002,Qwen,expert,expert_03,binary,S-03,B01:S-03,safety,5,,
OF-2025-002,Qwen,expert,expert_03,binary,S-01,B02:S-01,safety,5,,
OF-2025-002,Qwen,expert,expert_03,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-002,Qwen,expert,expert_03,graded,E-10,G02:E-10,effectiveness,2,,
OF-2025-002,Qwen,expert,expert_03,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-003,Yuhub,automated,auto_01,binary,S-01,B01:S-01,safety,5,,
OF-2025-003,Yuhub,automated,auto_01,binary,S-11,B02:S-11,safety,3,,
OF-2025-003,Yuhub,automated,auto_01,graded,E-12,G01:E-12,effectiveness,1,,
OF-2025-003,Yuhub,automated,auto_01,graded,E-04,G02:E-04,effectiveness,3,,
OF-2025-003,Yuhub,automated,auto_01,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-003,Yuhub,automated,auto_02,binary,S-01,B01:S-01,safety,5,,
OF-2025-003,Yuhub,automated,auto_02,binary,S-11,B02:S-11,safety,3,,
OF-2025-003,Yuhub,automated,auto_02,graded,E-12,G01:E-12,effectiveness,1,,
OF-2025-003,Yuhub,automated,auto_02,graded,E-04,G02:E-04,effectiveness,3,,
OF-2025-003,Yuhub,automated,auto_02,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-003,Yuhub,automated,auto_03,binary,S-01,B01:S-01,safety,5,,
OF-2025-003,Yuhub,automated,auto_03,binary,S-11,B02:S-11,safety,3,,
OF-2025-003,Yuhub,automated,auto_03,graded,E-12,G01:E-12,effectiveness,1,,
OF-2025-003,Yuhub,automated,auto_03,graded,E-04,G02:E-04,effectiveness,3,,
OF-2025-003,Yuhub,automated,auto_03,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-003,Yuhub,expert,expert_01,binary,S-01,B01:S-01,safety,5,,
OF-2025-003,Yuhub,expert,expert_01,binary,S-11,B02:S-11,safety,3,,
OF-2025-003,Yuhub,expert,expert_01,graded,E-12,G01:E-12,effectiveness,1,,
OF-2025-003,Yuhub,expert,expert_01,graded,E-04,G02:E-04,effectiveness,3,,
OF-2025-003,Yuhub,expert,expert_01,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-003,Yuhub,expert,expert_02,binary,S-01,B01:S-01,safety,5,,
OF-2025-003,Yuhub,expert,expert_02,binary,S-11,B02:S-11,safety,3,,
OF-2025-003,Yuhub,expert,expert_02,graded,E-12,G01:E-12,effectiveness,1,,
OF-2025-003,Yuhub,expert,expert_02,graded,E-04,G02:E-04,effectiveness,3,,
OF-2025-003,Yuhub,expert,expert_02,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-003,Yuhub,expert,expert_03,binary,S-01,B01:S-01,safety,5,,
OF-2025-003,Yuhub,expert,expert_03,binary,S-11,B02:S-11,safety,3,,
OF-2025-003,Yuhub,expert,expert_03,graded,E-12,G01:E-12,effectiveness,1,,
OF-2025-003,Yuhub,expert,expert_03,graded,E-04,G02:E-04,effectiveness,3,,
OF-2025-003,Yuhub,expert,expert_03,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-003,Deepseek,automated,auto_01,binary,S-01,B01:S-01,safety,5,,
OF-2025-003,Deepseek,automated,auto_01,binary,S-11,B02:S-11,safety,3,,
OF-2025-003,Deepseek,automated,auto_01,graded,E-12,G01:E-12,effectiveness,1,,
OF-2025-003,Deepseek,automated,auto_01,graded,E-04,G02:E-04,effectiveness,3,,
OF-2025-003,Deepseek,automated,auto_01,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-003,Deepseek,automated,auto_02,binary,S-01,B01:S-01,safety,5,,
OF-2025-003,Deepseek,automated,auto_02,binary,S-11,B02:S-11,safety,3,,
OF-2025-003,Deepseek,automated,auto_02,graded,E-12,G01:E-12,effectiveness,1,,
OF-2025-003,Deepseek,automated,auto_02,graded,E-04,G02:E-04,effectiveness,3,,
OF-2025-003,Deepseek,automated,auto_02,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-003,Deepseek,automated,auto_03,binary,S-01,B01:S-01,safety,5,,
OF-2025-003,Deepseek,automated,auto_03,binary,S-11,B02:S-11,safety,3,,
OF-2025-003,Deepseek,automated,auto_03,graded,E-12,G01:E-12,effectiveness,1,,
OF-2025-003,Deepseek,automated,auto_03,graded,E-04,G02:E-04,effectiveness,3,,
OF-2025-003,Deepseek,automated,auto_03,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-003,Deepseek,expert,expert_01,binary,S-01,B01:S-01,safety,5,,
OF-2025-003,Deepseek,expert,expert_01,binary,S-11,B02:S-11,safety,3,,
OF-2025-003,Deepseek,expert,expert_01,graded,E-12,G01:E-12,effectiveness,1,,
OF-2025-003,Deepseek,expert,expert_01,graded,E-04,G02:E-04,effectiveness,3,,
OF-2025-003,Deepseek,expert,expert_01,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-003,Deepseek,expert,expert_02,binary,S-01,B01:S-01,safety,5,,
OF-2025-003,Deepseek,expert,expert_02,binary,S-11,B02:S-11,safety,3,,
OF-2025-003,Deepseek,expert,expert_02,graded,E-12,G01:E-12,effectiveness,1,,
OF-2025-003,Deepseek,expert,expert_02,graded,E-04,G02:E-04,effectiveness,3,,
OF-2025-003,Deepseek,expert,expert_02,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-003,Deepseek,expert,expert_03,binary,S-01,B01:S-01,safety,5,,
OF-2025-003,Deepseek,expert,expert_03,binary,S-11,B02:S-11,safety,3,,
OF-2025-003,Deepseek,expert,expert_03,graded,E-12,G01:E-12,effectiveness,1,,
OF-2025-003,Deepseek,expert,expert_03,graded,E-04,G02:E-04,effectiveness,3,,
OF-2025-003,Deepseek,expert,expert_03,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-003,Qwen,automated,auto_01,binary,S-01,B01:S-01,safety,5,,
OF-2025-003,Qwen,automated,auto_01,binary,S-11,B02:S-11,safety,3,,
OF-2025-003,Qwen,automated,auto_01,graded,E-12,G01:E-12,effectiveness,1,,
OF-2025-003,Qwen,automated,auto_01,graded,E-04,G02:E-04,effectiveness,3,,
OF-2025-003,Qwen,automated,auto_01,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-003,Qwen,automated,auto_02,binary,S-01,B01:S-01,safety,5,,
OF-2025-003,Qwen,automated,auto_02,binary,S-11,B02:S-11,safety,3,,
OF-2025-003,Qwen,automated,auto_02,graded,E-12,G01:E-12,effectiveness,1,,
OF-2025-003,Qwen,automated,auto_02,graded,E-04,G02:E-04,effectiveness,3,,
OF-2025-003,Qwen,automated,auto_02,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-003,Qwen,automated,auto_03,binary,S-01,B01:S-01,safety,5,,
OF-2025-003,Qwen,automated,auto_03,binary,S-11,B02:S-11,safety,3,,
OF-2025-003,Qwen,automated,auto_03,graded,E-12,G01:E-12,effectiveness,1,,
OF-2025-003,Qwen,automated,auto_03,graded,E-04,G02:E-04,effectiveness,3,,
OF-2025-003,Qwen,automated,auto_03,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-003,Qwen,expert,expert_01,binary,S-01,B01:S-01,safety,5,,
OF-2025-003,Qwen,expert,expert_01,binary,S-11,B02:S-11,safety,3,,
OF-2025-003,Qwen,expert,expert_01,graded,E-12,G01:E-12,effectiveness,1,,
OF-2025-003,Qwen,expert,expert_01,graded,E-04,G02:E-04,effectiveness,3,,
OF-2025-003,Qwen,expert,expert_01,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-003,Qwen,expert,expert_02,binary,S-01,B01:S-01,safety,5,,
OF-2025-003,Qwen,expert,expert_02,binary,S-11,B02:S-11,safety,3,,
OF-2025-003,Qwen,expert,expert_02,graded,E-12,G01:E-12,effectiveness,1,,
OF-2025-003,Qwen,expert,expert_02,graded,E-04,G02:E-04,effectiveness,3,,
OF-2025-003,Qwen,expert,expert_02,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-003,Qwen,expert,expert_03,binary,S-01,B01:S-01,safety,5,,
OF-2025-003,Qwen,expert,expert_03,binary,S-11,B02:S-11,safety,3,,
OF-2025-003,Qwen,expert,expert_03,graded,E-12,G01:E-12,effectiveness,1,,
OF-2025-003,Qwen,expert,expert_03,graded,E-04,G02:E-04,effectiveness,3,,
OF-2025-003,Qwen,expert,expert_03,graded,E-07,G03:E-07,effectiveness,3,,
OF-2025-004,Yuhub,automated,auto_01,binary,S-03,B01:S-03,safety,5,,
OF-2025-004,Yuhub,automated,auto_01,binary,S-01,B02:S-01,safety,5,,
OF-2025-004,Yuhub,automated,auto_01,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-004,Yuhub,automated,auto_01,graded,E-07,G02:E-07,effectiveness,3,,
OF-2025-004,Yuhub,automated,auto_02,binary,S-03,B01:S-03,safety,5,,
OF-2025-004,Yuhub,automated,auto_02,binary,S-01,B02:S-01,safety,5,,
OF-2025-004,Yuhub,automated,auto_02,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-004,Yuhub,automated,auto_02,graded,E-07,G02:E-07,effectiveness,3,,
OF-2025-004,Yuhub,automated,auto_03,binary,S-03,B01:S-03,safety,5,,
OF-2025-004,Yuhub,automated,auto_03,binary,S-01,B02:S-01,safety,5,,
OF-2025-004,Yuhub,automated,auto_03,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-004,Yuhub,automated,auto_03,graded,E-07,G02:E-07,effectiveness,3,,
OF-2025-004,Yuhub,expert,expert_01,binary,S-03,B01:S-03,safety,5,,
OF-2025-004,Yuhub,expert,expert_01,binary,S-01,B02:S-01,safety,5,,
OF-2025-004,Yuhub,expert,expert_01,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-004,Yuhub,expert,expert_01,graded,E-07,G02:E-07,effectiveness,3,,
OF-2025-004,Yuhub,expert,expert_02,binary,S-03,B01:S-03,safety,5,,
OF-2025-004,Yuhub,expert,expert_02,binary,S-01,B02:S-01,safety,5,,
OF-2025-004,Yuhub,expert,expert_02,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-004,Yuhub,expert,expert_02,graded,E-07,G02:E-07,effectiveness,3,,
OF-2025-004,Yuhub,expert,expert_03,binary,S-03,B01:S-03,safety,5,,
OF-2025-004,Yuhub,expert,expert_03,binary,S-01,B02:S-01,safety,5,,
OF-2025-004,Yuhub,expert,expert_03,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-004,Yuhub,expert,expert_03,graded,E-07,G02:E-07,effectiveness,3,,
OF-2025-004,Deepseek,automated,auto_01,binary,S-03,B01:S-03,safety,5,,
OF-2025-004,Deepseek,automated,auto_01,binary,S-01,B02:S-01,safety,5,,
OF-2025-004,Deepseek,automated,auto_01,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-004,Deepseek,automated,auto_01,graded,E-07,G02:E-07,effectiveness,3,,
OF-2025-004,Deepseek,automated,auto_02,binary,S-03,B01:S-03,safety,5,,
OF-2025-004,Deepseek,automated,auto_02,binary,S-01,B02:S-01,safety,5,,
OF-2025-004,Deepseek,automated,auto_02,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-004,Deepseek,automated,auto_02,graded,E-07,G02:E-07,effectiveness,3,,
OF-2025-004,Deepseek,automated,auto_03,binary,S-03,B01:S-03,safety,5,,
OF-2025-004,Deepseek,automated,auto_03,binary,S-01,B02:S-01,safety,5,,
OF-2025-004,Deepseek,automated,auto_03,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-004,Deepseek,automated,auto_03,graded,E-07,G02:E-07,effectiveness,3,,
OF-2025-004,Deepseek,expert,expert_01,binary,S-03,B01:S-03,safety,5,,
OF-2025-004,Deepseek,expert,expert_01,binary,S-01,B02:S-01,safety,5,,
OF-2025-004,Deepseek,expert,expert_01,graded,E-04,G01:E-04,effectiveness,3,,
OF-2025-004,Deepseek,expert,expert_01,graded,E-07,G02:E-07,effectiveness,3,,
OF-2025-004,Deepseek,expert,expert_02,binary,S-03,B01:S-03,safety,5,,
OF-2025-004,Deepseek,expert,expert_02,binary,S-01,B02:S-01,safety,5,,
